system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,state,.geo
000200000000000000a2,0.017755966757722362,-0.18404870568824316,0.08649291654421654,0.03730949988597459,-0.07656779783111396,-0.158322638877126,-0.05112947705728332,0.09273441844170566,-0.013113574782245091,-0.08310010159694245,0.117760802773911,-0.059086677786996,-0.24097177105533998,-0.07560506061976642,0.08980611049122215,-0.004002352222161346,-0.1068184749780164,0.020713582498571075,-0.06538342576345799,-0.14284553557993993,-0.117629135032168,0.09064002430110467,0.18301509634070337,-0.04600873173746745,-0.10931292653077539,-0.03559988941760017,0.08826975187362313,0.07284071882359275,-0.08996071437195478,0.06914064266409689,0.03319361394876256,0.0232848356409106,-0.026534372370109353,-0.0031441588422565967,0.10199328022206053,-0.07638468293827137,0.036027641967469,-0.045171209892080275,0.06827086974725205,-0.06336628947100674,0.03439468779557708,-0.0697162804923918,-0.2240418737877671,0.12956853052010356,-0.010575289030930782,-9.220996996766631E-5,0.012073292314596756,-0.002406595509490544,-0.1736222703587518,-0.19545687277896576,0.08333384136656635,0.14495953403927078,-0.0029625384613091144,0.05986788492016935,0.08200960786201612,5.856415077647646E-4,-0.08090632783681467,-0.061752051835345975,-0.1875339483561667,-0.3579085926902927,-0.033231172024888685,-0.07761339693728528,0.040462760791215684,0.011144759427518837,Guanajuato,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a3,-0.013023096628064614,-0.11527519586356039,0.08692162532382641,-0.09119236862032062,-0.06467074305560466,-0.17048557101151288,-0.02991164156232193,0.16196978925714328,-0.028042193039611897,-0.012791682734174775,0.04690684759191765,0.05419650999584761,-0.262871477731747,-0.016356003201599023,0.0039018281673035434,0.006339111202568985,-0.033523212668675834,0.06387542637503774,-0.15933997176494955,-0.06902503282387445,-0.2384702968030298,0.0724338094196075,0.12709159504931905,-0.0828339473516326,0.013531035075397765,-0.04405128590933265,0.08063614041931451,0.06139380608906891,-0.17236787840148493,0.07069094501886035,0.029004298927374935,0.10243527100515766,0.02042797990579922,0.04004782745320587,-0.004397170614963225,-0.08507027973660346,0.04047925733718245,-0.03487647775418248,0.11717604998363355,-0.09250726084080062,0.05792988267069473,-0.1781190623633132,-0.1487624232624296,0.23482948054304195,0.0209780561515867,0.0015972107109116743,-0.05339057548385591,0.07438312062108289,-0.07237827895775426,-0.08613574732612098,0.0844329259918966,4.8729916107770696E-4,0.06020594896148531,0.016617961534846556,0.07184030512087226,-0.03002416531293726,-0.027012383761228373,-0.07973094224225383,-0.1139039229981781,-0.2702048820754092,0.09999626264625262,-0.10938954736944209,0.006736175085906936,-0.08049834716314727,Guerrero,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a4,0.040247974226323015,-0.1403729686592921,0.06303385263404905,0.04488271596062338,-0.032971807960393444,-0.16899120148769356,-0.05439182041191184,0.09907571291248934,0.0015974445657336684,-0.03514367253354126,0.09249480757617524,-0.05213668996493628,-0.262340254142501,-0.031982960246104655,0.05681468738529921,-0.04373137570812983,-0.07426487651426393,0.055553102106930714,-0.07961799829074326,-0.14290465135127103,-0.17929553040357651,0.09308324906929825,0.09368774477554995,-0.10071206669629865,-0.08411475662834138,-0.013464526148534769,0.09712155006371931,0.02345627846545696,-0.10912691904127145,0.06716858526101648,0.04000537260799902,0.042155410339019914,0.026900624928488572,0.04978057072579063,0.01509138075723985,-0.0656563065883478,0.031096755669220464,-0.07128734462981885,0.020890220238321208,-0.05819931779987106,0.012282156801704233,-0.07087984143518175,-0.1713822812501348,0.14605150123672142,-0.022771889588000572,-0.01564830641625264,-0.03281075595443883,0.04255738769676115,-0.12356558559810285,-0.11636139417937914,0.06791496273829803,0.012175165781022585,0.015593800168969094,0.07570559616473672,0.09379733186603591,-0.03837171895485508,-0.05053169751137791,-0.07312945770653609,-0.14096405533673978,-0.3372496158463642,0.0186516658954154,-0.10296351908374443,0.006086792901090549,-0.03265506302409225,Hidalgo,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a5,0.022615503678235897,-0.13104450749424934,0.07288424227861663,-0.043740223727271106,-0.06232760878253463,-0.16023924750818688,-0.022372272215516253,0.14316215177168312,-0.023112760856931563,-0.06743540894629278,0.09229149485707773,-0.004479571005438053,-0.25523640677649106,-0.023889679823640153,0.06337353880190193,0.014702798032455739,-0.08216943442293925,0.044729307004653,-0.10806190396291923,-0.11815282306603755,-0.1778723742049957,0.05376142169187689,0.19891864957385016,-0.07799571069603028,-0.04420050919235381,-0.05182014552428075,0.08702868862413474,0.08119181894661263,-0.10825810230055204,0.06477198753253093,0.023716352652730827,0.08285014648902136,-0.011912264427757552,0.016844212237465832,0.045563974976058436,-0.10654202055270742,0.038151051037041445,-0.023745645597411325,0.09516114271143468,-0.0788922327305861,0.06380653139783966,-0.12834544533396294,-0.18015375393749716,0.1837849342545295,0.02449495903032539,0.021214091178673473,-0.021256185424014817,0.020029338248344925,-0.10581163514499668,-0.1296249282360851,0.08145568680968358,0.07743699996066036,0.01832782585464806,0.030172796636953797,0.06734136607610793,-0.03282838355886917,-0.061173664032012985,-0.05015915479676275,-0.13303743809840798,-0.3241681696446061,0.06628885120742618,-0.09915540058580799,0.01770704127309386,-0.043308153099580145,Jalisco,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a6,0.0378611123774642,-0.18741165656121367,0.06852171392973974,-0.010631326375017637,-0.04805491123754238,-0.13039491140154122,-0.0180710718823743,0.08251567231945002,-0.008979091724385779,-0.02598644275507545,0.11751432572098496,-0.07049381216190438,-0.2562346145863533,-0.022103034187037428,0.04561463257211533,-0.03306985077096368,-0.14702100525989661,0.01277233702135646,-0.06619269326117641,-0.1654117229287158,-0.10929425739662078,0.02693560790824993,0.18813884336193584,-0.12787852881418096,-0.06779423295943514,-0.034017959171219594,0.05043743374826671,0.05142208199529208,-0.0975811071038846,0.029434058208599016,0.017705688790608524,0.06923789143759927,-0.04936744529832405,0.01837818564500926,0.04991062628255638,-0.10582741956007162,0.026439404404995145,-0.060908558243201016,0.035280445429716166,-0.09438220309806279,-0.005445269332290069,-0.10274397222267319,-0.23069862019552934,0.1384858864222421,0.0031718146707427476,0.005531963202446837,-0.03847308370392573,0.05280922795734987,-0.1423810310735868,-0.12982114494804312,0.0868338078064925,0.08345549138677952,0.02437260903883918,0.0715422779872377,0.09717246604778877,-0.07365290228691922,-0.06028925926844109,-0.028056012191041937,-0.16728122474957335,-0.32886417663233464,0.054792529058175124,-0.09248687911083153,-0.022610008726777122,-0.06908405063663493,Mexico,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a7,0.013493180969636122,-0.13205333616597864,0.0847045875977309,-0.05567688213313571,-0.07410301788355506,-0.1663819872790609,-0.0371035478763415,0.14995938542621,-0.025337804253157615,-0.035861095950388784,0.08585205095646128,0.02344887038856139,-0.2463077781501283,-0.03341228787895058,0.030987723302288057,0.02960789682718193,-0.06176091091931614,0.023770771969245014,-0.1232584659719109,-0.10514344490143913,-0.20530587484890353,0.08239335318901779,0.1777369217389691,-0.0700232040371683,-0.01007813949684402,-0.05133938161446496,0.06539515333081192,0.06887543186471921,-0.12386971613001457,0.07702679293305217,0.017992760497424626,0.07633541839119495,-0.009350891922659511,0.018757311170392456,0.05012598123190193,-0.09380212798953959,0.021346204701097864,-0.04157184901263319,0.09840056789392657,-0.08464050382438838,0.045440231362370215,-0.11616050423358901,-0.1832891794916507,0.22669381061311086,0.014771034691926522,0.016304112778194112,-0.03949440570081836,0.054256875818522954,-0.1058991068773674,-0.1173297164214918,0.0732510371443155,0.057005649296896097,0.0497497582433546,0.0359676509847185,0.06579239260108602,-0.06162839405357958,-0.024066544860170614,-0.060932102509239645,-0.14727175649173052,-0.30089271969857145,0.05954235208992386,-0.09658966841201792,0.012756968347624903,-0.04781540578205234,Michoacan,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a8,0.010228838574766906,-0.15376584757799983,0.08281415755601218,-0.048519426208685566,-0.051152168145121385,-0.1810309260701572,-0.04738584883609519,0.12549050053588273,-0.07172643712189393,-0.026884133313101254,0.08543326621732313,-0.010659200588499054,-0.3059658632996318,-0.0622471882898402,0.031507271003440626,0.011974589886195599,-0.12151427079551451,0.019649913708709988,-0.10060562967642316,-0.11489161600626459,-0.22387906613396927,0.10658408070712744,0.17084313145129135,-0.07841808750836582,-0.030673787886045484,1.2097942820044958E-4,0.0501574666027832,0.07764747551213087,-0.11850112952665831,0.04667891853247999,-0.006662145244545138,0.08173733143432352,-0.01735664611713918,-0.008788628801055387,0.1071941127650556,-0.10156692995619492,0.044792163004065355,-0.026697373181329136,0.11415012018152355,-0.07804948990674586,-0.0018655303611907182,-0.08148462254530037,-0.21584588116188524,0.1967251252910214,0.054832821599626214,0.003283057574059117,-0.02974626651237812,0.024360623332392847,-0.13518720676804336,-0.10282943292887395,0.09973097664211339,0.12683267504838072,0.05114500505791301,-0.004092345270788239,0.08761705903863813,-0.006408479565698703,-0.05021164332367381,-0.06108937983946686,-0.18508010714106887,-0.28445697039131196,0.07440860372853927,-0.1561486209355393,0.0016894884170971002,-0.03617307901629155,Morelos,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a9,0.01835929324251136,-0.11829166021857201,0.08399360978774192,-0.08978127695488178,-0.092462119271386,-0.1529919390967226,-0.013253631271623899,0.16493543728764556,-0.049858869235123275,-0.020419055064972932,0.05426772004255669,0.06675003934238286,-0.2502122359047809,0.004090136177787293,0.04609414950209685,0.07405333358372367,-0.060755283641724396,0.07938819624997691,-0.13452327045718532,-0.07655296671312796,-0.19486656071678585,0.06782206684784085,0.16195165652292737,-0.0882199657074544,0.0034362650151452704,-0.046291606693414845,0.04936590830946364,0.10681729291236526,-0.1142893860561073,0.08498074543392622,0.07969101328168639,0.10411828988313511,0.028493742008939914,0.04153136370574278,-0.013699440334849974,-0.04906375495840539,0.04814932033895398,0.015153942278555077,0.11610701281062687,-0.08042653286982086,0.09236110739689606,-0.15368406305898225,-0.09882256749994016,0.20184212592369483,0.06409655075876931,0.039199769588010726,-0.029528411214254358,0.050014042825467606,-0.025239972431994655,-0.07834226932428486,0.07217996872887637,0.0018819429155902908,0.02026656727071511,0.029448572624217052,0.05311515075821937,-0.08169369783119163,-0.04878217986099223,-0.07680096365995696,-0.1092982870786758,-0.28484418495820363,0.14272084128976867,-0.11750732749154125,0.009824046428735243,-0.05596604690828389,Nayarit,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000aa,0.10645670210273961,-0.07900790623780368,-0.013620320598894101,0.19191625498704626,-0.013806750918675793,-0.14012430242571158,-0.08889765998177734,0.07855898532294692,-0.09888003672587341,-0.009624031692528815,0.018927330238995007,-0.01595745748352258,-0.20701201649257736,-0.1305096825466782,0.039851574417675874,-0.016143532973043273,-0.02702992763816405,0.19803462110215278,0.004510402994608437,-0.15057216478216168,-0.20160670526690277,0.028719255468612176,-0.011301307856981586,0.034733545152581966,-0.10665554021372044,0.07805002279955282,0.019171750383088347,0.03531482008381971,-0.06789711662989797,0.1326846611313395,0.09935221141426825,-0.028047674264110072,0.11348615267011768,-0.02668878200763069,0.009069335384957907,0.08611740788210595,0.0288760043739569,-0.07589943661088032,-0.006058109283024535,0.08717092739930164,0.17565818109402714,-0.11829796235690465,-0.03233726924403549,0.044529357363895065,-0.0028463451114609834,0.022497501350770926,0.022365336012758162,-0.024707652019286958,0.004716787046885586,-0.13144721756553832,0.03056244962735314,-0.03442382903348885,-0.05895908784928812,0.07314167639791778,0.02207855460766034,-0.028179031108668796,-0.09945462795381473,-0.05625704645166713,-0.054870703405540844,-0.25506248534928877,-0.01527265264358095,0.014531613156737656,0.0852924085756152,0.0947078871731528,Nuevo Leon,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000ab,0.0254377928851124,-0.10817684320185182,0.0664201068549492,-0.018437635206832854,-0.048991787637857644,-0.14254962243173805,-0.010533686501964597,0.10213156374841194,0.00545080384237173,0.007004610863788742,0.03468277817361146,0.02462732473136481,-0.24722834203331792,0.0040232551753064975,0.002090364656575169,-0.03531812588078273,0.0011112295762505612,0.05832915121095065,-0.14268755992542068,-0.07677057382237057,-0.20409935469659882,0.08788347864402245,0.05783030566042204,-0.09491804096025842,-0.036967100442178574,-0.027023367306151524,0.10224887096511395,-0.016032232110260426,-0.14934762152675182,0.09426282390003285,0.04533185089213242,0.027384490753071797,0.020133973759867273,0.03743787782444402,-0.04485326728425421,-0.06366592826857807,0.038361889622353255,-0.09006804928972775,0.028027432495512487,-0.06429705033192172,0.05312775419975292,-0.14084936157545014,-0.11598972788338839,0.2044799986744818,-0.06430671201148781,-0.009498900853617848,-0.08571311070820835,0.06831780390508184,-0.07256744799428191,-0.07931558848036932,0.04238467739385635,-0.08868665614486722,0.06670568063219245,0.08180075451342014,0.05593687804371155,-0.027891131405513785,0.013723036865866858,-0.06457853403770802,-0.1292492539343379,-0.29728358025877655,0.04603149839539234,-0.09433046682719508,0.0014572432348964714,-0.062136909851434684,Oaxaca,"{""type"":""MultiPoint"",""coordinates"":[]}"
