state,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,San Luis Potosi,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Quintana Roo,Sinaloa
Guanajuato,0.9612380332575046,0.1867637130340009,0.19351170800702136,0.40001595437372756,0.6762521754049902,0.6519508541768491,0.5917333130445878,0.7050216121134112,0.8341767920578959,0.8853579658289596,1.0000000000000002,0.7907888391642994,0.9285698181112505,0.9322391647195709,0.9358372425344561,0.9009689492031383,0.9157293674548844,0.7750169762227114,0.6062629326477577,0.7640606551107537,0.9300393681719855,0.9582935983140699,0.8828604606388496,0.42455943710982014,0.32449427648259355,0.5160395341378847,0.9324549097484717,0.476118843817035,0.31845225653694137,0.9474413779151047,0.23174046905401072,0.6440541412523435
Guerrero,0.7340498873228569,0.15326160329503416,0.2229627833217129,0.6314291514864628,0.8805703724465956,0.43561658245572216,0.3923930830009189,0.9426495408401926,0.7035484414212204,0.7555167479391496,0.7907888391642994,1.0000000000000002,0.8787490264004562,0.940062183284013,0.8472550296361707,0.9657426990902392,0.9141735832685464,0.9620175246944508,0.5036438257558343,0.9305304667565243,0.88201135108432,0.8574015778540417,0.6911513108901766,0.40241182320986857,0.545449858537778,0.5382122051404201,0.7286562203985288,0.6748146310200891,0.5476169166745694,0.688062331143772,0.4834574786624496,0.8350873123364709
Hidalgo,0.8914240549406925,0.21228038420269293,0.2177100278566663,0.521452114361323,0.838676690016256,0.612122211933849,0.5828001223584871,0.7804316603596446,0.8410977267989879,0.8604669010259925,0.9285698181112505,0.8787490264004562,0.9999999999999997,0.9350239186373572,0.9407971486719809,0.9267277192279274,0.91145674848015,0.841403262066218,0.6599082412341011,0.9137004719480674,0.9915737793358298,0.9805667829604301,0.8865039999741022,0.4357467734722604,0.473464942935789,0.6071675901954926,0.8963481594218264,0.6556883023800127,0.42065520736475964,0.8587205113638217,0.3499817549970858,0.6864458877804661
Jalisco,0.8968979014649552,0.18746079432411672,0.2209858904981994,0.5463117401920832,0.7996043383409167,0.5849191722086942,0.5036472484775062,0.8761450268271074,0.8129119801655761,0.8819851787964793,0.9322391647195709,0.940062183284013,0.9350239186373572,1.0000000000000002,0.9457114854288454,0.984644520777726,0.9617119122347992,0.9342981337620127,0.5601824465414822,0.868558795429088,0.9320321701676524,0.9436376591115005,0.8059062491640151,0.4519052788364183,0.438495517481882,0.5248655692503831,0.8690973290002477,0.5747502213010894,0.46567603694649395,0.8603715797745275,0.3857795166990104,0.797942930729857
Mexico,0.9148879498818909,0.10848064425237927,0.11369513870293785,0.4159883381453656,0.7327566815739491,0.5674315816449765,0.4455191920948476,0.7445070672177818,0.938175323291747,0.8672155448429005,0.9358372425344561,0.8472550296361707,0.9407971486719809,0.9457114854288454,0.9999999999999999,0.9260155425255242,0.9291568577959891,0.826232313015791,0.4940970322746769,0.8215558791672958,0.9357879422897403,0.9341838154004305,0.7768605989835521,0.3356895750980346,0.3416772200736167,0.4248714383377125,0.9590469285865018,0.4851537156738831,0.3244608589854918,0.8541126539462487,0.2601293979748397,0.6465852053231423
Michoacan,0.8327550925584651,0.15919226888388321,0.22970578643450418,0.5790817507058271,0.8360675928355145,0.5103637333646497,0.446047976129068,0.9045730690230512,0.8004977768656104,0.8256387453394036,0.9009689492031383,0.9657426990902392,0.9267277192279274,0.984644520777726,0.9260155425255242,1.0,0.9641303227061537,0.9429692747319581,0.5289923165350725,0.9007321374318054,0.9281993118042158,0.9250228873768611,0.7656895023261755,0.4214589618641492,0.4819958869616471,0.5252018411655169,0.8339702292131863,0.6143210874630273,0.4899087428633251,0.7938025148092642,0.4215097068753101,0.8113110942512606
Morelos,0.8741502735458959,0.11906969438451157,0.15592790265348971,0.49950603382625847,0.7583795603781263,0.5276077895144247,0.448355594590943,0.856510176602503,0.8329500465249811,0.8268159641599065,0.9157293674548844,0.9141735832685464,0.91145674848015,0.9617119122347992,0.9291568577959891,0.9641303227061537,1.0000000000000004,0.8852995318357523,0.5087078326616016,0.8224434975790129,0.9197133259158995,0.9237869576976334,0.7515551661553123,0.3934848427808954,0.42615381291375115,0.486187003345525,0.8705491405576151,0.5510419961622112,0.4031746313735336,0.8085211584066251,0.33709023435336644,0.7533948703892899
Nayarit,0.7145272505037824,0.23543910296837922,0.2881105755231112,0.6614765910301147,0.8164548730717973,0.4990964137135204,0.4289732764218004,0.9617570372595793,0.6766370664517795,0.7977921786386178,0.7750169762227114,0.9620175246944508,0.841403262066218,0.9342981337620127,0.826232313015791,0.9429692747319581,0.8852995318357523,1.0000000000000002,0.5398579126717626,0.8678282848144545,0.8327011104659645,0.832980219084764,0.6891058649844737,0.500355607804564,0.5518231049966043,0.5870422718396254,0.7034451571940027,0.6590577937629476,0.592107733867483,0.692170981829154,0.5385410805779041,0.9252556415692255
Nuevo Leon,0.599625811521973,0.5260330867764538,0.4968594420787484,0.45659264106221614,0.5300090428347455,0.7187213907885646,0.894550018001526,0.48436660616825084,0.3966304259617221,0.6845630771768847,0.6062629326477577,0.5036438257558343,0.6599082412341011,0.5601824465414822,0.4940970322746769,0.5289923165350725,0.5087078326616016,0.5398579126717626,1.0,0.5806078163058663,0.6490177537026808,0.6810282176263512,0.8606807270488114,0.713597827331719,0.41148733149622163,0.8867929708167491,0.4665867641712946,0.5603063039527711,0.4095534337220411,0.6886260201029888,0.3423614603572792,0.5910967596996572
Oaxaca,0.6998133585169235,0.21883262672912088,0.28962621719273135,0.6858417174868824,0.9588573953888396,0.4427598824191589,0.4460448928300773,0.8560885726573815,0.7067032821875185,0.6956556572613795,0.7640606551107537,0.9305304667565243,0.9137004719480674,0.868558795429088,0.8215558791672958,0.9007321374318054,0.8224434975790129,0.8678282848144545,0.5806078163058663,1.0000000000000002,0.9205364636926567,0.8532129370091323,0.7534252011187829,0.4010487396228811,0.6433791931544363,0.6037819861577607,0.7278303574004693,0.7886157335057854,0.5864204265823119,0.6711902407694303,0.5334184876184249,0.7337741326261347
