system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,state,.geo,PC1,PC2
000200000000000000a2,0.0177559667577223,-0.1840487056882431,0.0864929165442165,0.0373094998859745,-0.0765677978311139,-0.158322638877126,-0.0511294770572833,0.0927344184417056,-0.013113574782245,-0.0831001015969424,0.117760802773911,-0.059086677786996,-0.2409717710553399,-0.0756050606197664,0.0898061104912221,-0.0040023522221613,-0.1068184749780164,0.020713582498571,-0.0653834257634579,-0.1428455355799399,-0.117629135032168,0.0906400243011046,0.1830150963407033,-0.0460087317374674,-0.1093129265307753,-0.0355998894176001,0.0882697518736231,0.0728407188235927,-0.0899607143719547,0.0691406426640968,0.0331936139487625,0.0232848356409106,-0.0265343723701093,-0.0031441588422565,0.1019932802220605,-0.0763846829382713,0.036027641967469,-0.0451712098920802,0.068270869747252,-0.0633662894710067,0.034394687795577,-0.0697162804923918,-0.2240418737877671,0.1295685305201035,-0.0105752890309307,-9.220996996766632e-05,0.0120732923145967,-0.0024065955094905,-0.1736222703587518,-0.1954568727789657,0.0833338413665663,0.1449595340392707,-0.0029625384613091,0.0598678849201693,0.0820096078620161,0.0005856415077647646,-0.0809063278368146,-0.0617520518353459,-0.1875339483561667,-0.3579085926902927,-0.0332311720248886,-0.0776133969372852,0.0404627607912156,0.0111447594275188,Guanajuato,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.36186315398101004,0.014757810097894113
000200000000000000a3,-0.0130230966280646,-0.1152751958635603,0.0869216253238264,-0.0911923686203206,-0.0646707430556046,-0.1704855710115128,-0.0299116415623219,0.1619697892571432,-0.0280421930396118,-0.0127916827341747,0.0469068475919176,0.0541965099958476,-0.262871477731747,-0.016356003201599,0.0039018281673035,0.0063391112025689,-0.0335232126686758,0.0638754263750377,-0.1593399717649495,-0.0690250328238744,-0.2384702968030298,0.0724338094196075,0.127091595049319,-0.0828339473516326,0.0135310350753977,-0.0440512859093326,0.0806361404193145,0.0613938060890689,-0.1723678784014849,0.0706909450188603,0.0290042989273749,0.1024352710051576,0.0204279799057992,0.0400478274532058,-0.0043971706149632,-0.0850702797366034,0.0404792573371824,-0.0348764777541824,0.1171760499836335,-0.0925072608408006,0.0579298826706947,-0.1781190623633132,-0.1487624232624296,0.2348294805430419,0.0209780561515867,0.0015972107109116,-0.0533905754838559,0.0743831206210828,-0.0723782789577542,-0.0861357473261209,0.0844329259918966,0.00048729916107770696,0.0602059489614853,0.0166179615348465,0.0718403051208722,-0.0300241653129372,-0.0270123837612283,-0.0797309422422538,-0.1139039229981781,-0.2702048820754092,0.0999962626462526,-0.109389547369442,0.0067361750859069,-0.0804983471631472,Guerrero,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.08273344717327738,0.2554511969491476
000200000000000000a4,0.040247974226323,-0.1403729686592921,0.063033852634049,0.0448827159606233,-0.0329718079603934,-0.1689912014876935,-0.0543918204119118,0.0990757129124893,0.0015974445657336,-0.0351436725335412,0.0924948075761752,-0.0521366899649362,-0.262340254142501,-0.0319829602461046,0.0568146873852992,-0.0437313757081298,-0.0742648765142639,0.0555531021069307,-0.0796179982907432,-0.142904651351271,-0.1792955304035765,0.0930832490692982,0.0936877447755499,-0.1007120666962986,-0.0841147566283413,-0.0134645261485347,0.0971215500637193,0.0234562784654569,-0.1091269190412714,0.0671685852610164,0.040005372607999,0.0421554103390199,0.0269006249284885,0.0497805707257906,0.0150913807572398,-0.0656563065883478,0.0310967556692204,-0.0712873446298188,0.0208902202383212,-0.058199317799871,0.0122821568017042,-0.0708798414351817,-0.1713822812501348,0.1460515012367214,-0.0227718895880005,-0.0156483064162526,-0.0328107559544388,0.0425573876967611,-0.1235655855981028,-0.1163613941793791,0.067914962738298,0.0121751657810225,0.015593800168969,0.0757055961647367,0.0937973318660359,-0.038371718954855,-0.0505316975113779,-0.073129457706536,-0.1409640553367397,-0.3372496158463642,0.0186516658954154,-0.1029635190837444,0.0060867929010905,-0.0326550630240922,Hidalgo,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.20950368327949917,0.07532704826514827
000200000000000000a5,0.0226155036782358,-0.1310445074942493,0.0728842422786166,-0.0437402237272711,-0.0623276087825346,-0.1602392475081868,-0.0223722722155162,0.1431621517716831,-0.0231127608569315,-0.0674354089462927,0.0922914948570777,-0.004479571005438,-0.255236406776491,-0.0238896798236401,0.0633735388019019,0.0147027980324557,-0.0821694344229392,0.044729307004653,-0.1080619039629192,-0.1181528230660375,-0.1778723742049957,0.0537614216918768,0.1989186495738501,-0.0779957106960302,-0.0442005091923538,-0.0518201455242807,0.0870286886241347,0.0811918189466126,-0.108258102300552,0.0647719875325309,0.0237163526527308,0.0828501464890213,-0.0119122644277575,0.0168442122374658,0.0455639749760584,-0.1065420205527074,0.0381510510370414,-0.0237456455974113,0.0951611427114346,-0.0788922327305861,0.0638065313978396,-0.1283454453339629,-0.1801537539374971,0.1837849342545295,0.0244949590303253,0.0212140911786734,-0.0212561854240148,0.0200293382483449,-0.1058116351449966,-0.1296249282360851,0.0814556868096835,0.0774369999606603,0.018327825854648,0.0301727966369537,0.0673413660761079,-0.0328283835588691,-0.0611736640320129,-0.0501591547967627,-0.1330374380984079,-0.3241681696446061,0.0662888512074261,-0.0991554005858079,0.0177070412730938,-0.0433081530995801,Jalisco,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.22515692584151947,0.14118326881543428
000200000000000000a6,0.0378611123774642,-0.1874116565612136,0.0685217139297397,-0.0106313263750176,-0.0480549112375423,-0.1303949114015412,-0.0180710718823743,0.08251567231945,-0.0089790917243857,-0.0259864427550754,0.1175143257209849,-0.0704938121619043,-0.2562346145863533,-0.0221030341870374,0.0456146325721153,-0.0330698507709636,-0.1470210052598966,0.0127723370213564,-0.0661926932611764,-0.1654117229287158,-0.1092942573966207,0.0269356079082499,0.1881388433619358,-0.1278785288141809,-0.0677942329594351,-0.0340179591712195,0.0504374337482667,0.051422081995292,-0.0975811071038846,0.029434058208599,0.0177056887906085,0.0692378914375992,-0.049367445298324,0.0183781856450092,0.0499106262825563,-0.1058274195600716,0.0264394044049951,-0.060908558243201,0.0352804454297161,-0.0943822030980627,-0.00544526933229,-0.1027439722226731,-0.2306986201955293,0.1384858864222421,0.0031718146707427,0.0055319632024468,-0.0384730837039257,0.0528092279573498,-0.1423810310735868,-0.1298211449480431,0.0868338078064925,0.0834554913867795,0.0243726090388391,0.0715422779872377,0.0971724660477887,-0.0736529022869192,-0.060289259268441,-0.0280560121910419,-0.1672812247495733,-0.3288641766323346,0.0547925290581751,-0.0924868791108315,-0.0226100087267771,-0.0690840506366349,Mexico,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.3477545056380706,0.12623994955282813
000200000000000000a7,0.0134931809696361,-0.1320533361659786,0.0847045875977309,-0.0556768821331357,-0.074103017883555,-0.1663819872790609,-0.0371035478763415,0.14995938542621,-0.0253378042531576,-0.0358610959503887,0.0858520509564612,0.0234488703885613,-0.2463077781501283,-0.0334122878789505,0.030987723302288,0.0296078968271819,-0.0617609109193161,0.023770771969245,-0.1232584659719109,-0.1051434449014391,-0.2053058748489035,0.0823933531890177,0.1777369217389691,-0.0700232040371683,-0.010078139496844,-0.0513393816144649,0.0653951533308119,0.0688754318647192,-0.1238697161300145,0.0770267929330521,0.0179927604974246,0.0763354183911949,-0.0093508919226595,0.0187573111703924,0.0501259812319019,-0.0938021279895395,0.0213462047010978,-0.0415718490126331,0.0984005678939265,-0.0846405038243883,0.0454402313623702,-0.116160504233589,-0.1832891794916507,0.2266938106131108,0.0147710346919265,0.0163041127781941,-0.0394944057008183,0.0542568758185229,-0.1058991068773674,-0.1173297164214918,0.0732510371443155,0.057005649296896,0.0497497582433546,0.0359676509847185,0.065792392601086,-0.0616283940535795,-0.0240665448601706,-0.0609321025092396,-0.1472717564917305,-0.3008927196985714,0.0595423520899238,-0.0965896684120179,0.0127569683476249,-0.0478154057820523,Michoacan,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.18158204839905956,0.19564288383474848
000200000000000000a8,0.0102288385747669,-0.1537658475779998,0.0828141575560121,-0.0485194262086855,-0.0511521681451213,-0.1810309260701572,-0.0473858488360951,0.1254905005358827,-0.0717264371218939,-0.0268841333131012,0.0854332662173231,-0.010659200588499,-0.3059658632996318,-0.0622471882898402,0.0315072710034406,0.0119745898861955,-0.1215142707955145,0.0196499137087099,-0.1006056296764231,-0.1148916160062645,-0.2238790661339692,0.1065840807071274,0.1708431314512913,-0.0784180875083658,-0.0306737878860454,0.00012097942820044958,0.0501574666027832,0.0776474755121308,-0.1185011295266583,0.0466789185324799,-0.0066621452445451,0.0817373314343235,-0.0173566461171391,-0.0087886288010553,0.1071941127650556,-0.1015669299561949,0.0447921630040653,-0.0266973731813291,0.1141501201815235,-0.0780494899067458,-0.0018655303611907,-0.0814846225453003,-0.2158458811618852,0.1967251252910214,0.0548328215996262,0.0032830575740591,-0.0297462665123781,0.0243606233323928,-0.1351872067680433,-0.1028294329288739,0.0997309766421133,0.1268326750483807,0.051145005057913,-0.0040923452707882,0.0876170590386381,-0.0064084795656987,-0.0502116433236738,-0.0610893798394668,-0.1850801071410688,-0.2844569703913119,0.0744086037285392,-0.1561486209355393,0.0016894884170971,-0.0361730790162915,Morelos,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.2825624592579993,0.1901649276330642
000200000000000000a9,0.0183592932425113,-0.118291660218572,0.0839936097877419,-0.0897812769548817,-0.092462119271386,-0.1529919390967226,-0.0132536312716238,0.1649354372876455,-0.0498588692351232,-0.0204190550649729,0.0542677200425566,0.0667500393423828,-0.2502122359047809,0.0040901361777872,0.0460941495020968,0.0740533335837236,-0.0607552836417243,0.0793881962499769,-0.1345232704571853,-0.0765529667131279,-0.1948665607167858,0.0678220668478408,0.1619516565229273,-0.0882199657074544,0.0034362650151452,-0.0462916066934148,0.0493659083094636,0.1068172929123652,-0.1142893860561073,0.0849807454339262,0.0796910132816863,0.1041182898831351,0.0284937420089399,0.0415313637057427,-0.0136994403348499,-0.0490637549584053,0.0481493203389539,0.015153942278555,0.1161070128106268,-0.0804265328698208,0.092361107396896,-0.1536840630589822,-0.0988225674999401,0.2018421259236948,0.0640965507587693,0.0391997695880107,-0.0295284112142543,0.0500140428254676,-0.0252399724319946,-0.0783422693242848,0.0721799687288763,0.0018819429155902,0.0202665672707151,0.029448572624217,0.0531151507582193,-0.0816936978311916,-0.0487821798609922,-0.0768009636599569,-0.1092982870786758,-0.2848441849582036,0.1427208412897686,-0.1175073274915412,0.0098240464287352,-0.0559660469082838,Nayarit,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.025955955031498276,0.1907560519383772
000200000000000000aa,0.1064567021027396,-0.0790079062378036,-0.0136203205988941,0.1919162549870462,-0.0138067509186757,-0.1401243024257115,-0.0888976599817773,0.0785589853229469,-0.0988800367258734,-0.0096240316925288,0.018927330238995,-0.0159574574835225,-0.2070120164925773,-0.1305096825466782,0.0398515744176758,-0.0161435329730432,-0.027029927638164,0.1980346211021527,0.0045104029946084,-0.1505721647821616,-0.2016067052669027,0.0287192554686121,-0.0113013078569815,0.0347335451525819,-0.1066555402137204,0.0780500227995528,0.0191717503830883,0.0353148200838197,-0.0678971166298979,0.1326846611313395,0.0993522114142682,-0.02804767426411,0.1134861526701176,-0.0266887820076306,0.0090693353849579,0.0861174078821059,0.0288760043739569,-0.0758994366108803,-0.0060581092830245,0.0871709273993016,0.1756581810940271,-0.1182979623569046,-0.0323372692440354,0.044529357363895,-0.0028463451114609,0.0224975013507709,0.0223653360127581,-0.0247076520192869,0.0047167870468855,-0.1314472175655383,0.0305624496273531,-0.0344238290334888,-0.0589590878492881,0.0731416763979177,0.0220785546076603,-0.0281790311086687,-0.0994546279538147,-0.0562570464516671,-0.0548707034055408,-0.2550624853492887,-0.0152726526435809,0.0145316131567376,0.0852924085756152,0.0947078871731528,Nuevo Leon,"{""type"":""MultiPoint"",""coordinates"":[]}",0.10915025145324861,-0.3331756078325347
000200000000000000ab,0.0254377928851124,-0.1081768432018518,0.0664201068549492,-0.0184376352068328,-0.0489917876378576,-0.142549622431738,-0.0105336865019645,0.1021315637484119,0.0054508038423717,0.0070046108637887,0.0346827781736114,0.0246273247313648,-0.2472283420333179,0.0040232551753064,0.0020903646565751,-0.0353181258807827,0.0011112295762505,0.0583291512109506,-0.1426875599254206,-0.0767705738223705,-0.2040993546965988,0.0878834786440224,0.057830305660422,-0.0949180409602584,-0.0369671004421785,-0.0270233673061515,0.1022488709651139,-0.0160322321102604,-0.1493476215267518,0.0942628239000328,0.0453318508921324,0.0273844907530717,0.0201339737598672,0.037437877824444,-0.0448532672842542,-0.063665928268578,0.0383618896223532,-0.0900680492897277,0.0280274324955124,-0.0642970503319217,0.0531277541997529,-0.1408493615754501,-0.1159897278833883,0.2044799986744818,-0.0643067120114878,-0.0094989008536178,-0.0857131107082083,0.0683178039050818,-0.0725674479942819,-0.0793155884803693,0.0423846773938563,-0.0886866561448672,0.0667056806321924,0.0818007545134201,0.0559368780437115,-0.0278911314055137,0.0137230368658668,-0.064578534037708,-0.1292492539343379,-0.2972835802587765,0.0460314983953923,-0.094330466827195,0.0014572432348964,-0.0621369098514346,Oaxaca,"{""type"":""MultiPoint"",""coordinates"":[]}",0.005434838513266011,0.18330211855252818
